id;Produits;Pré-Commandes;Greffons;Objectifs;Réalisés;Réussis;Rangs
4278;288;0;65;30;;12;
4281;286;0;0;0;;;
4284;287;0;90;40;;26;
4287;291;0;0;0;;;
4290;289;0;40;10;;0;
4293;290;0;80;40;;20;
4296;294;0;0;0;;;
4299;292;2;20;10;;3;
4302;293;0;0;0;;;
4305;297;0;70;30;;17;
4308;295;0;80;40;;9;
4279;296;0;0;0;;;
4282;300;0;0;0;;;
4285;298;0;0;0;;;
4288;299;0;0;0;;;
4291;303;0;0;0;;;
4294;301;0;0;0;;;
4297;302;0;0;0;;;
4300;306;0;0;0;;;
4303;304;0;0;0;;;
4306;305;0;0;0;;;
4309;309;0;0;0;;;
4280;307;1;35;30;;14;
4283;308;0;0;0;;;
4286;312;1;50;40;;23;
4289;310;0;0;0;;;
4292;311;1;30;10;;;
4295;315;1;40;40;;11;
4298;313;0;0;0;;;
4301;314;0;10;10;;2;
4304;318;0;0;0;;;
4307;316;0;40;30;;4;
4310;317;1;40;40;;2;
4312;951;0;20;10;;0;
4311;950;0;0;0;;;
4313;941;0;0;0;;37;
4314;942;0;0;0;;6;
4315;937;0;0;0;;30;
4316;938;0;0;0;;36;
4317;939;0;0;0;;;
4318;940;0;0;0;;76;
4333;252;0;0;0;;;
4335;250;1;44;5;;3;
4337;254;1;110;20;;16;
4339;256;0;20;5;;5;
4341;258;1;120;25;;20;
4370;1209;0;10;5;;4;
4343;260;1;65;20;;23;
4321;1166;0;10;5;;0;
4345;262;0;50;10;;14;
4347;264;0;20;10;;7;
4323;1242;0;0;0;;;
4372;1207;0;24;5;;3;
4349;266;0;0;0;;;
4351;268;0;40;20;;19;
4353;270;0;25;10;;8;
4355;272;0;15;5;;4;
4357;274;0;15;8;;3;
4359;276;1;60;20;;17;
4376;1208;0;10;5;;4;
4361;278;0;15;8;;4;
4327;1168;0;20;10;;4;
4363;280;1;15;8;;2;
4365;282;0;12;5;;0;
4378;1206;0;12;5;;2;
4367;284;1;40;20;;10;
4334;253;0;0;0;;;
4336;251;0;39;10;;1;
4338;255;0;90;25;;2;
4369;1214;0;0;0;;;
4340;257;0;15;10;;1;
4342;259;0;95;25;;3;
4371;1210;0;5;5;;0;
4344;261;1;45;25;;2;
4322;1167;0;5;5;;2;
4346;263;0;40;10;;2;
4348;265;2;10;10;;1;
4324;1247;0;0;0;;;
4373;1219;0;19;5;;0;
4350;267;0;0;0;;;
4352;269;0;20;20;;4;
4354;271;0;15;5;;0;
4356;273;0;10;10;;8;
4358;275;1;7;7;;0;
4360;277;1;40;20;;0;
4374;1212;0;0;0;;;
4375;1211;0;0;0;;;
4362;279;0;10;10;;1;
4328;1169;0;7;7;;0;
4364;281;0;7;7;;0;
4377;1213;0;0;0;;;
4366;283;0;7;0;;0;
4368;285;0;20;10;;0;
4379;1291;0;0;0;;;
4380;1290;0;0;0;;;
4381;1293;0;0;0;;;
4385;948;0;50;25;;17;
4382;1164;0;45;25;;8;
4383;1165;0;40;25;;21;
4384;1163;0;45;25;;11;
4386;1286;0;0;0;;;
4387;1287;1;0;0;;;
4389;944;0;0;0;;10;
4390;943;0;0;0;;63;
4388;945;0;0;0;;;
4392;1145;0;40;30;;21;
4393;949;0;40;30;;17;
4396;952;0;8;8;;5;
4395;1161;0;60;20;;17;
4397;1289;30;0;0;;;
4405;2;0;80;25;;10;
4407;3;0;0;0;;;
4409;5;0;25;10;;3;
4411;7;0;30;15;;3;
4413;9;0;25;10;;9;
4415;11;0;0;0;;;
4417;13;0;0;0;;;
4419;17;0;0;0;;;
4421;15;0;0;0;;;
4423;19;0;30;10;;5;
4425;21;0;15;5;;1;
4427;25;0;0;0;;;
4429;23;0;0;0;;;
4431;27;0;0;0;;;
4433;29;0;10;5;;1;
4435;31;0;30;15;;3;
4437;33;0;0;0;;;
4439;35;0;0;0;;;
4441;37;0;10;5;;0;
4443;39;0;15;8;;2;
4445;41;0;15;8;;2;
4447;51;0;15;8;;1;
4449;43;0;30;15;;7;
4451;45;0;10;5;;2;
4453;47;0;0;0;;;
4455;49;0;15;8;;1;
4399;1304;0;25;8;;0;
4401;1306;0;8;4;;1;
4457;53;0;60;26;;6;
4404;953;2;#VALEUR !;10;;0;
4406;946;1;55;30;;25;
4408;4;0;0;0;;;
4410;6;0;15;15;;12;
4412;8;2;15;15;;9;
4414;10;0;15;15;;13;
4416;12;0;0;0;;;
4418;14;0;0;0;;;
4420;18;0;0;0;;;
4422;16;0;0;0;;;
4424;20;0;20;15;;8;
4426;22;0;10;10;;1;
4428;26;0;0;0;;;
4430;24;0;0;0;;;
4432;28;0;0;0;;;
4434;30;0;5;5;;1;
